edict,generic,generic_sub
adjectival nouns or quasi-adjectives (keiyodoshi),adjective,
adjective (keiyoushi),adjective,
`taru' adjective,adjective,
adjective (keiyoushi) - yoi/ii class,adjective,
numeric,adjective,number
`ku' adjective (archaic),adjective,
auxiliary adjective,adjective,
archaic/formal form of na-adjective,adjective,
`shiku' adjective (archaic),adjective,
pre-noun adjectival (rentaishi),adnominal,
adverb (fukushi),adverb,
adverb taking the `to' particle,adverb,
interjection (kandoushi),adverb,
auxiliary,conjuction,auxiliary
conjunction,conjunction,
expressions (phrases/clauses/etc.),expression,
unclassified,misc,
noun (common) (futsuumeishi),noun,
noun or participle which takes the aux. verb suru,noun,
nouns which may take the genitive case particle `no',noun,
noun,noun,
noun or verb acting prenominally,noun,
used as a suffix,noun,suffix
adverbial noun (fukushitekimeishi),noun,
noun (temporal) (jisoumeishi),noun,
suffix,noun,suffix
prefix,noun,prefix
pronoun,noun,pronoun
used as a prefix,noun,prefix
proper noun,noun,proper noun
counter,number,
particle,particule,
copula,particule,
transitive verb,verb,
Ichidan verb,verb,
intransitive verb,verb,
Godan verb with `ru' ending,verb,
Godan verb with `su' ending,verb,
Godan verb with `ku' ending,verb,
Godan verb with `u' ending,verb,
Godan verb with `mu' ending,verb,
suru verb - special class,verb,
Godan verb with `tsu' ending,verb,
suru verb - irregular,verb,
Godan verb with `gu' ending,verb,
Godan verb with `bu' ending,verb,
auxiliary verb,verb,
Ichidan verb - zuru verb (alternative form of -jiru verbs),verb,
Godan verb - Iku/Yuku special class,verb,
Godan verb with `ru' ending (irregular verb),verb,
Kuru verb - special class,verb,
Yodan verb with `ru' ending (archaic),verb,
su verb - precursor to the modern suru,verb,
Nidan verb (lower class) with `dzu' ending (archaic),verb,
Yodan verb with `ku' ending (archaic),verb,
Nidan verb (lower class) with `ru' ending (archaic),verb,
Nidan verb (lower class) with `mu' ending (archaic),verb,
Godan verb with `nu' ending,verb,
Yodan verb with `hu/fu' ending (archaic),verb,
Godan verb with `u' ending (special class),verb,
Godan verb - -aru special class,verb,
plain form ends with -ri,verb,
irregular ru verb,verb,
irregular nu verb,verb,
Nidan verb (upper class) with `tsu' ending (archaic),verb,
Yodan verb with `su' ending (archaic),verb,
Nidan verb (lower class) with `tsu' ending (archaic),verb,
Nidan verb (lower class) with `yu' ending (archaic),verb,
Nidan verb (upper class) with `yu' ending (archaic),verb,
Nidan verb (lower class) with `hu/fu' ending (archaic),verb,
Nidan verb (upper class) with `hu/fu' ending (archaic),verb,
Nidan verb (upper class) with `gu' ending (archaic),verb,
Nidan verb (lower class) with `nu' ending (archaic),verb,
Nidan verb with 'u' ending (archaic),verb,
Yodan verb with `tsu' ending (archaic),verb,
Nidan verb (upper class) with `bu' ending (archaic),verb,
Nidan verb (lower class) with `gu' ending (archaic),verb,
Ichidan verb - kureru special class,verb,
Yodan verb with `bu' ending (archaic),verb,
Nidan verb (lower class) with `ku' ending (archaic),verb,
Nidan verb (lower class) with `su' ending (archaic),verb,
Nidan verb (lower class) with `zu' ending (archaic),verb,
Nidan verb (lower class) with `u' ending and `we' conjugation (archaic),verb,
Yodan verb with `mu' ending (archaic),verb,
Nidan verb (upper class) with `ru' ending (archaic),verb,
Nidan verb (upper class) with `ku' ending (archaic),verb,